customer_id,region,first_name,last_name,email
103,Centro,Roberto,Rivas,roberto.rivas@cliente.com
436,Centro,Marina,García,marina.garcía@cliente.com
349,Centro,Carmen,Ramírez,carmen.ramírez@cliente.com
271,Oeste,Lucía,Ramírez,lucía.ramírez@cliente.com
107,Sur,Diego,Ruiz,diego.ruiz@cliente.com
72,Este,Carlos,Torres,carlos.torres@cliente.com
189,Centro,Miguel,Pérez,miguel.pérez@cliente.com
21,Centro,Raúl,Reyes,raúl.reyes@cliente.com
122,Centro,Javier,Delgado,javier.delgado@cliente.com
467,Oeste,Andrea,Santos,andrea.santos@cliente.com
215,Oeste,Patricia,Vargas,patricia.vargas@cliente.com
331,Centro,Hugo,Ramírez,hugo.ramírez@cliente.com
459,Sur,Raúl,Pérez,raúl.pérez@cliente.com
88,Sur,Alberto,Moreno,alberto.moreno@cliente.com
373,Sur,Patricia,Silva,patricia.silva@cliente.com
100,Norte,Patricia,Ruiz,patricia.ruiz@cliente.com
360,Centro,Luis,Martínez,luis.martínez@cliente.com
152,Sur,Elena,Vargas,elena.vargas@cliente.com
131,Oeste,Lucía,Rivas,lucía.rivas@cliente.com
150,Este,Claudia,Moreno,claudia.moreno@cliente.com
309,Este,Roberto,García,roberto.garcía@cliente.com
258,Sur,Daniela,Torres,daniela.torres@cliente.com
344,Este,Marina,Herrera,marina.herrera@cliente.com
492,Este,Marina,Fernández,marina.fernández@cliente.com
414,Norte,Carlos,Pérez,carlos.pérez@cliente.com
294,Oeste,Sara,Moreno,sara.moreno@cliente.com
386,Oeste,Luis,García,luis.garcía@cliente.com
192,Norte,Carmen,Pérez,carmen.pérez@cliente.com
444,Norte,Claudia,Vargas,claudia.vargas@cliente.com
277,Este,Javier,Cordero,javier.cordero@cliente.com
161,Centro,Sofía,Cordero,sofía.cordero@cliente.com
460,Este,Manuel,Ramírez,manuel.ramírez@cliente.com
314,Norte,Daniela,Ramírez,daniela.ramírez@cliente.com
22,Oeste,Manuel,Fernández,manuel.fernández@cliente.com
253,Este,Miguel,Vargas,miguel.vargas@cliente.com
236,Centro,Luis,Cano,luis.cano@cliente.com
345,Este,Miguel,Silva,miguel.silva@cliente.com
49,Sur,Javier,Fernández,javier.fernández@cliente.com
475,Este,Elena,Rivas,elena.rivas@cliente.com
59,Norte,Luis,Rivas,luis.rivas@cliente.com
170,Oeste,Daniela,Ramírez,daniela.ramírez@cliente.com
476,Oeste,Patricia,Castillo,patricia.castillo@cliente.com
188,Norte,Manuel,Rivas,manuel.rivas@cliente.com
464,Sur,Luis,Silva,luis.silva@cliente.com
190,Este,Claudia,Ruiz,claudia.ruiz@cliente.com
446,Norte,Sara,Fernández,sara.fernández@cliente.com
175,Norte,Andrea,Santos,andrea.santos@cliente.com
51,Este,Claudia,Torres,claudia.torres@cliente.com
364,Centro,Daniela,Cano,daniela.cano@cliente.com
55,Centro,Roberto,García,roberto.garcía@cliente.com
244,Oeste,Roberto,Ruiz,roberto.ruiz@cliente.com
320,Norte,Lucía,Torres,lucía.torres@cliente.com
485,Sur,Sofía,Silva,sofía.silva@cliente.com
307,Centro,Roberto,Cano,roberto.cano@cliente.com
135,Norte,Carlos,García,carlos.garcía@cliente.com
329,Sur,Sara,Vargas,sara.vargas@cliente.com
167,Norte,Lucía,Rivas,lucía.rivas@cliente.com
274,Sur,Lucía,Herrera,lucía.herrera@cliente.com
388,Norte,Andrea,Moreno,andrea.moreno@cliente.com
89,Norte,Sofía,Delgado,sofía.delgado@cliente.com
316,Este,Roberto,Moreno,roberto.moreno@cliente.com
14,Oeste,Andrea,Cano,andrea.cano@cliente.com
242,Sur,Manuel,Castillo,manuel.castillo@cliente.com
265,Sur,Patricia,Ramírez,patricia.ramírez@cliente.com
346,Este,Manuel,Cano,manuel.cano@cliente.com
53,Este,Andrea,Torres,andrea.torres@cliente.com
340,Centro,Hugo,Cordero,hugo.cordero@cliente.com
92,Centro,Carmen,Pérez,carmen.pérez@cliente.com
367,Centro,Andrea,Fernández,andrea.fernández@cliente.com
455,Sur,Manuel,Reyes,manuel.reyes@cliente.com
428,Oeste,Miguel,Cano,miguel.cano@cliente.com
264,Norte,Andrea,Santos,andrea.santos@cliente.com
431,Sur,Andrea,Ramírez,andrea.ramírez@cliente.com
35,Sur,Sara,Delgado,sara.delgado@cliente.com
206,Este,Patricia,Torres,patricia.torres@cliente.com
81,Este,Sara,Martínez,sara.martínez@cliente.com
420,Norte,Sofía,Pérez,sofía.pérez@cliente.com
50,Este,Sofía,López,sofía.lópez@cliente.com
2,Centro,Sofía,Ruiz,sofía.ruiz@cliente.com
390,Este,Sara,Ruiz,sara.ruiz@cliente.com
54,Sur,Luis,Torres,luis.torres@cliente.com
106,Norte,Carmen,Reyes,carmen.reyes@cliente.com
260,Oeste,Lucía,Mendoza,lucía.mendoza@cliente.com
310,Este,Marina,Vargas,marina.vargas@cliente.com
477,Sur,Alberto,Pérez,alberto.pérez@cliente.com
191,Oeste,Hugo,Castillo,hugo.castillo@cliente.com
402,Oeste,Elena,Fernández,elena.fernández@cliente.com
218,Centro,Carlos,Rivas,carlos.rivas@cliente.com
44,Oeste,Manuel,Martínez,manuel.martínez@cliente.com
162,Sur,Carmen,Martínez,carmen.martínez@cliente.com
202,Sur,Miguel,Fernández,miguel.fernández@cliente.com
